DATE,TIME,Month,TRANSACTION_TYPE,AMOUNT,DESCRIPTION,TRANSACTION_ID,UTR_NUMBER,PAID_BY,Is_Weekend
"Apr 07, 2025",08:00 AM,,DEBIT,12,Paid to abhinandan kadak special chaha and cafe,T2504070800545366465590,093985713464,XXXXXX8597,false
"Apr 06, 2025",11:28 PM,,DEBIT,40,Paid to Swad Restaurant,T2504062328090207796034,414917595312,XXXXXX8597,true
"Apr 06, 2025",09:16 PM,,DEBIT,70,Paid to Swad Restaurant,T2504062116022608656123,645066062686,XXXXXX8597,true
"Apr 06, 2025",06:09 PM,,DEBIT,15,Paid to Swad Restaurant,T2504061809231097393133,967145857332,XXXXXX8597,true
"Apr 06, 2025",08:54 AM,,DEBIT,12,Paid to abhinandan kadak special chaha and cafe,T2504060854158020994212,017447148194,XXXXXX8597,true
"Apr 05, 2025",10:58 PM,,DEBIT,220,Paid to MUNNA  LAL,T2504052258166129457916,358309382690,XXXXXX8597,true
"Apr 05, 2025",10:27 PM,,DEBIT,20,Paid to Swad Restaurant,T2504052227009179577441,212688697775,XXXXXX8597,true
"Apr 05, 2025",03:08 PM,,DEBIT,50,Paid to Swad Restaurant,T2504051508031058198836,151057155381,XXXXXX8597,true
"Apr 05, 2025",11:50 AM,,CREDIT,20,Received from PRANAV VIJAY PATIL,T2504051150500881151644,546191774586,XXXXXX8597,true
"Apr 04, 2025",08:21 PM,,DEBIT,40,Paid to Nand dugdhalay,T2504042021343818121331,281559949691,XXXXXX8597,false
"Apr 04, 2025",08:00 PM,,DEBIT,57,Paid to Pranav Patil ☠☠,T2504042000467174005735,382322246257,XXXXXX8597,false
"Apr 04, 2025",08:00 PM,,DEBIT,38,Paid to Arjun chavan (Topper),T2504042000134553441985,874602590818,XXXXXX8597,false
"Apr 04, 2025",07:39 PM,,DEBIT,60,Paid to Swad Restaurant,T2504041939218525580610,889976479103,XXXXXX8597,false
"Apr 03, 2025",08:19 PM,,DEBIT,114,Paid to KRISHNA PUNJABI TADKA,T2504032019406751894766,472747319025,XXXXXX8597,false
"Apr 03, 2025",06:14 PM,,DEBIT,50,Paid to Miss Manasvi Ravindra Dusane1,T2504031814441376591748,815007668379,XXXXXX8597,false
"Apr 03, 2025",05:57 PM,,DEBIT,24,Paid to abhinandan kadak special chaha and cafe,T2504031757159430803949,246150787675,XXXXXX8597,false
"Apr 02, 2025",10:50 PM,,DEBIT,25,Paid to Swad Restaurant,T2504022250498162403732,093637518742,XXXXXX8597,false
"Apr 02, 2025",09:24 PM,,DEBIT,60,Paid to Arjun chavan (Topper),T2504022124382231682128,858743554989,XXXXXX8597,false
"Apr 02, 2025",08:20 PM,,DEBIT,100,Paid to KRISHNA PUNJABI TADKA,T2504022020092582889702,727572326804,XXXXXX8597,false
"Apr 02, 2025",10:21 AM,,CREDIT,60,Received from Arjun chavan (Topper),T2504021021077966462398,905962150296,XXXXXX8597,false
"Apr 01, 2025",12:39 PM,,DEBIT,120,Paid to Swad Restaurant,T2504011239446173209454,430195715001,XXXXXX8597,false
"Apr 01, 2025",08:00 AM,,DEBIT,12,Paid to abhinandan kadak special chaha and cafe,T2504010800195237580419,623735879815,XXXXXX8597,false
"Mar 31, 2025",09:57 PM,,DEBIT,25,Paid to NAND SPECIAL CHAHA,T2503312157549711100060,516972533638,XXXXXX8597,false
"Mar 31, 2025",07:26 PM,,DEBIT,70,Paid to Swad Restaurant,T2503311926518883711812,836109974026,XXXXXX8597,false
"Mar 31, 2025",02:48 PM,,DEBIT,5,Paid to Indian Railways Ticketing,T2503311448456745170951,241649648162,XXXXXX8597,false
"Mar 30, 2025",09:59 PM,,DEBIT,54,Paid to Mr Satish Kamalakar Birajdar,T2503302159109937570494,798324046361,XXXXXX8597,true
"Mar 30, 2025",07:25 PM,,DEBIT,32,Paid to Mr Satish Kamalakar Birajdar,T2503301925226361298538,610517927016,XXXXXX8597,true
"Mar 30, 2025",05:12 PM,,DEBIT,7,Paid to PUNE METRO CCA DR WA,T2503301712090960447937,071117127881,XXXXXX8597,true
"Mar 30, 2025",03:53 PM,,DEBIT,5,Paid to IRCTC UTS,T2503301553541327378754,077318958845,XXXXXX8597,true
"Mar 30, 2025",02:16 PM,,DEBIT,15,Paid to Swad Restaurant,T2503301415568937378340,311631699402,XXXXXX8597,true
"Mar 30, 2025",11:56 AM,,DEBIT,60,Paid to Swad Restaurant,T2503301156062789625386,070411679484,XXXXXX8597,true
"Mar 29, 2025",08:05 PM,,DEBIT,60,Paid to Swad Restaurant,T2503292005280447461312,701163386927,XXXXXX8597,true
"Mar 29, 2025",06:18 PM,,DEBIT,20,Paid to Swad Restaurant,T2503291817567621889334,545900691480,XXXXXX8597,true
"Mar 29, 2025",09:57 AM,,DEBIT,57,Paid to Pratik Padole,T2503290957531312238757,931402345829,XXXXXX8597,true
"Mar 29, 2025",09:25 AM,,CREDIT,500,Received from Sameer Joshi,T2503290925356077369583,771278489271,XXXXXX8597,true
"Mar 29, 2025",07:55 AM,,DEBIT,49,Paid to Pratik Padole,T2503290755031743977031,006034905123,XXXXXX8597,true
"Mar 28, 2025",10:04 PM,,DEBIT,35,Paid to Swad Restaurant,T2503282204463285124366,316605104564,XXXXXX8597,false
"Mar 28, 2025",09:12 PM,,DEBIT,18,Paid to Senpai,T2503282112236862468448,268377015803,XXXXXX8597,false
"Mar 28, 2025",08:03 AM,,DEBIT,12,Paid to abhinandan kadak special chaha and cafe,T2503280803260592803629,421482077402,XXXXXX8597,false
"Mar 27, 2025",06:08 PM,,DEBIT,35,Paid to Swad Restaurant,T2503271808175959990705,700960857439,XXXXXX8597,false
"Mar 27, 2025",05:56 PM,,DEBIT,70,Paid to Swad Restaurant,T2503271756446653982714,876415086044,XXXXXX8597,false
"Mar 27, 2025",12:51 PM,,DEBIT,60,Paid to Swad Restaurant,T2503271251527104798895,768539979009,XXXXXX8597,false
"Mar 27, 2025",08:09 AM,,DEBIT,24,Paid to abhinandan kadak special chaha and cafe,T2503270809181940404476,623317842190,XXXXXX8597,false
"Mar 26, 2025",07:54 PM,,DEBIT,60,Paid to Swad Restaurant,T2503261954522233845695,773093653280,XXXXXX8597,false
"Mar 26, 2025",11:08 AM,,DEBIT,60,Paid to Swad Restaurant,T2503261107565436979081,171131160930,XXXXXX8597,false
"Mar 26, 2025",07:51 AM,,DEBIT,12,Paid to abhinandan kadak special chaha and cafe,T2503260751439676292140,198036912733,XXXXXX8597,false
"Mar 25, 2025",06:21 PM,,DEBIT,70,Paid to Swad Restaurant,T2503251821259003346018,495908910063,XXXXXX8597,false
"Mar 25, 2025",09:18 AM,,DEBIT,10,Paid to Saniket,T2503250918041677295552,502472651511,XXXXXX8597,false
"Mar 25, 2025",08:00 AM,,DEBIT,12,Paid to abhinandan kadak special chaha and cafe,T2503250800086531800405,535441504144,XXXXXX8597,false
"Mar 24, 2025",10:06 PM,,DEBIT,5,Paid to WELLNESS PHARMACY AND BEAUTY CENTRE,T2503242206075530029028,198574275956,XXXXXX8597,false
"Mar 24, 2025",06:46 PM,,DEBIT,60,Paid to Swad Restaurant,T2503241846518267907819,533696200978,XXXXXX8597,false
"Mar 24, 2025",04:16 PM,,DEBIT,20,Paid to Swad Restaurant,T2503241615591315981371,165388804670,XXXXXX8597,false
"Mar 24, 2025",11:44 AM,,DEBIT,15,Paid to Swad Restaurant,T2503241144320934524137,722622715444,XXXXXX8597,false
"Mar 24, 2025",11:19 AM,,DEBIT,60,Paid to Swad Restaurant,T2503241119225642113331,709707676327,XXXXXX8597,false
"Mar 23, 2025",07:11 PM,,DEBIT,60,Paid to Swad Restaurant,T2503231911243266503975,701763623585,XXXXXX8597,true
"Mar 23, 2025",11:42 AM,,DEBIT,60,Paid to Swad Restaurant,T2503231142223866168750,767271156663,XXXXXX8597,true
"Mar 22, 2025",07:42 PM,,DEBIT,50,Paid to Swad Restaurant,T2503221942252224984131,473431194898,XXXXXX8597,true
"Mar 22, 2025",07:39 PM,,CREDIT,1,",000Received from Sameer Joshi",T2503221939114870866038,932261866261,XXXXXX8597,true
"Mar 21, 2025",08:38 PM,,DEBIT,40,Paid to Atharva Chaudhary,T2503212038345763575511,249688496003,XXXXXX8597,false
"Mar 21, 2025",05:41 PM,,DEBIT,20,Paid to Swad Restaurant,T2503211741534898809310,306593041968,XXXXXX8597,false
"Mar 21, 2025",12:57 PM,,DEBIT,60,Paid to Swad Restaurant,T2503211257033108244220,651600988502,XXXXXX8597,false
"Mar 21, 2025",05:37 AM,,DEBIT,20,Paid to DHANESH WATUMAL DEVNANI,T2503210536569487841624,693351773068,XXXXXX8597,false
"Mar 21, 2025",05:16 AM,,DEBIT,5,Paid to IRCTC UTS,T2503210516179079705542,580886766406,XXXXXX8597,false
"Mar 20, 2025",08:30 PM,,DEBIT,19,Mobile recharged 8080383389,NB25032020301428193285762,293500728439,XXXXXX8597,false
"Mar 20, 2025",05:27 PM,,CREDIT,1,",000Received from Sameer Joshi",T2503201726593368096499,854737328985,XXXXXX8597,false
"Mar 19, 2025",07:08 PM,,DEBIT,19,Mobile recharged 8080383389,NB25031919075950850695412,396612530331,XXXXXX8597,false
"Mar 19, 2025",12:14 PM,,DEBIT,2,Paid to ANUSHREE MULTI SERVICES,T2503191214284313494910,277621787420,XXXXXX8597,false
"Mar 18, 2025",08:36 PM,,DEBIT,19,Paid to Jio Prepaid Recharges,T2503182036184796478786,754315694825,XXXXXX8597,false
"Mar 18, 2025",05:46 PM,,CREDIT,20,Received from ******7445,T2503181746048872029022,722809694085,XXXXXX8597,false
"Mar 18, 2025",04:53 PM,,CREDIT,1,",000Received from Sameer Joshi",T2503181653395171278757,483760773593,XXXXXX8597,false
"Mar 17, 2025",11:00 PM,,CREDIT,20,Received from Kaustubh Narwade,T2503172300463433481774,519564989096,XXXXXX8597,false
"Mar 17, 2025",10:54 AM,,DEBIT,29,Mobile recharged 8080383389,NB25031710545427456790202,342579085330,XXXXXX8597,false
"Mar 16, 2025",09:37 PM,,DEBIT,19,Paid to Jio Prepaid Recharges,T2503162137512618099446,794803116468,XXXXXX8597,true
"Mar 16, 2025",09:05 PM,,DEBIT,750,Paid to Shoe First,T2503162105371072203264,287664221053,XXXXXX8597,true
